ID	CODE	CATEG	GROUPE 	NOM	SITE	QT	COULEUR	TEXTURE	LUSTRE	TRANSPARENCE	STRUCTURE	GRAIN	CASSURE	DESCRIPTION
11	mat013	Chert	Groupe 1	Chert 10	1	3	Brun rose	Cireux	Moyennement lustré à lustré	Translucide	Homogène	Aphanitique	Conchoïdale	Chert à matrice microcristaline extrêmement fine. Composé de restes de fossiles de forme cylindrique.
12	mat016	Chert	Groupe 1	Chert 11	6	29	Brun	Cireux	Lustré	Translucide	Homogène	Aphanitique	Conchoïdale	Chert à matrice cryptocristalline, extrêmement fine. Composé de quelques taches blanchâtres diffuses, rares inclusions blanche, de fossiles (spicules et structures rondes) et d'inclusions foncées et jaunâtes. Peut posséder du cortex. Silex brun européen de la période historique?
13	mat025	Chert	Groupe 1	Chert 12	2	2	Noir, brun très foncé	Cireux	Moyennement lustré à lustré	Semi-translucide	Tacheté	Aphanitique	Conchoïdale	Chert à matrice cryptocristalline très fine. Présence de nombreuses poches et veines de calcédoine, certaines en forme caractéristique d'arcs concentriques, de fossiles transformés en silice calcédonique. Ce chert d'aspect plastique pourrait être qualifié de calcédoine.
14	mat030	Chert	Groupe 1	Chert 13	1	1	Beige, gris brunâtre, presque rosé	Cireux	Lustré	Translucide	Moutonné	Aphanitique	Conchoïdale	Chert à matrice microcristalline. Matière très très fine et siliceuse. Possède de nombreuses petites taches blanches qui sont probablement des petites veines et poches de calcédoine. Inclusions brunes et rougeâtres, probablement dues à l'oxydation des minéraux ferreux. Taches rondes et ovales blanchâtres (siliceuses?). Matière semble avoir été chauffée (cupule). Occurence unique.
15	mat044	Chert	Groupe 1	Chert 14	2	2	Gris très foncé	Cireux	Lustré	Translucide	Homogène	Aphanitique	Conchoïdale	Chert à matrice microcristalline, très très fine. Aspect siliceux important. Présence de nombreuses inclusions foncées généralement de taille similaire partout dans la matrice. Peut posséder des inclusions rougeâtres.
16	mat050	Chert	Groupe 1	Chert 15	6	33	Brun grisâtre très foncé, beige, noir	Cireux	Moyennement lustré à lustré	Translucide	Moutonné	Aphanitique	Conchoïdale	Chert à matrice microcristalline, voir cryptocristalline. Composé de nombreux fossiles, inclusions noires et blanches et dans les teintes de rouge, taches blanches légèrement diffuses. Silex européen? Peut être confondu avec mat016?
17	mat058	Chert	Groupe 1	Chert 16	X	X	Gris foncé, brunâtre	Cireux	Lustré	Semi-translucide	Moutonné	Aphanitique	Conchoïdale	Chert à matrice microcristalline. Matière très fine et siliceuse. Possède un aspect plastique. Présence de très petites taches foncées (fossiles?) et blanches (poches de calcédoines). Un chert à calcédoine? Associé à mat022? Occurence unique.
18	mat003	Chert	Groupe 2	Chert à inclusions rondes 1	2	2	Brun très foncé	Cireux	Moyennement lustré	Opaque	Homogène	Fin	Conchoïdale	Chert à matrice microcristaline. Très riche en radiolaires à couleur parfois bleuté lorsque peu altéré. Radiolaires peuvent être jaunâtres. Certains sont dissous et ont laissé des vacuoles en surface.
19	mat006	Chert	Groupe 2	Chert à inclusions rondes 2	1	1	Gris	Cireux	Moyennement lustré	Translucide	Homogène	Fin à aphanitique	Conchoïdale	Chert à matrice microcristalline. Composé de plusieurs taches rondes blanches qui sont des fossiles cylindriques, quelques inclusions foncées, taches blanches diffuses.
20	mat010	Chert	Groupe 2	Chert à inclusions rondes 3	1	1	Gris très foncé; beige	Mat	Mat	Opaque	Homogène	Fin	Conchoïdale	Chert à matrice microcristaline. Présence d'inclusions rondes de nature indéterminée semblant se concentrer dans la partie beige de la matrice, fossile (spicule?). Rare ou à rassembler dans autre catégorie. Pourrait être associé à mat037.
21	mat011	Chert	Groupe 2	Chert à inclusions rondes 4	8	466	Gris foncé verdâtre	Mat	Mat à lustré	Translucide	Homogène; rubané	Fin à aphanitique	Conchoïdale	Chert à matrice microcristaline, voir cryptocristalline, généralement très homogène. Composé de multiples taches rondes blanchâtres dispersées à travers la matrice ou en rubans. Peut contenir des veines siliceuses. Ressemble au chert Normanskill.
22	mat014	Chert	Groupe 2	Chert à inclusions rondes 5	1	1	Gris foncé	Mat	Mat	Opaque à semi-translucide	Homogène	Aphanitique	Conchoïdale	Chert à matrice microcristaline. Composé d'inclusions rondes (oolithes?), quelques inclusions minérales foncées et de minéraux ferreux oxydés. Occurence unique. Apartient à autre catégorie? Ressemble à mat006.
23	mat019	Chert	Groupe 2	Chert à inclusions rondes 6	4	40	Gris brunâtre, noir brunâtre, parfois verdâtre, brun	Mat à cireux	Mat à lustré	Opaque à translucide	Homogène, légèrement enfumée	Fin	Conchoïdale	Chert à matrice microcristaline. Composé d'inclusion rondes (sphérules ou reste de fossiles?) généralement brunes.
24	mat024	Chert	Groupe 2	Chert à inclusions rondes 7	2	2	Gris très foncé, noir, légèrement verdâtre	Cireux	Moyennement lustré à lustré	Translucide	Enfumée	Aphanitique	Conchoïdale	Chert à matrice microcristalline très très fine. Structure enfumée pouvant paraître homogène sans retroéclairage. Nombreuses inclusions rondes (siliceuses ?) laissant mieux passer la lumière que la matrice. Il est possible que d'autres cherts similaires n'aient pas été identifiés comme tels.
25	mat035	Chert	Groupe 2	Chert à inclusions rondes 8	1	5	Vert grisâtre	Mat	Mat	Translucide	Homogène	Fin	Conchoïdale	Chert à matrice microcristalline. Composé d'inclusions rondes siliceuses plus foncées que la matrice, de rares taches blanchâtres diffuses, quelques fossiles (spicules?) transformés en silice, et potentiel rares romboèdres de carbonates jaunâtres. Occurence unique.
26	mat037	Chert	Groupe 2	Chert à inclusions rondes 9	6	45	Beige, gris, gris foncé, noir	Mat à moyennement lustré	Mat à cireux	Opaque	Homogène	Fin à aphanitique	Sub-conchoïdale à conchoïdale	Chert à matrice microcristalline. Principalement caractérisé par la présence d'inclusions rondes bien définies (pelloïdes?), quelques petites inclusions foncées. Ce chert à une bonne variabilité en couleur et en lustre, possiblement due à la chauffe.
27	mat057	Chert	Groupe 2	Chert à inclusions rondes 10	2	4	Brun, brun foncé rougeâtre	Cireux	Moyennement lustré	Opaque	Homogène	Fin	Conchoïdale	Chert à matrice microcristalline. Composé d'inclusions foncées (restes de fossile?) et jaunâtre. Présence de plusieurs radiolaires plus pâles ou plus foncées que la matrice. Certains ont une apparence légèrement bleutée.
28	mat040	Chert	Groupe 2	Chert à inclusions rondes 11		12	Beige grisâtre	Cireux à aphanitique	Moyennement lustré à lustré	Translucide	Homogène, tacheté	Aphanitique	Conchoïdale	Chert à matrice cryptocristalline. Composé de quelques fossiles qui ont la forme de taches blanches rondes diffuses. Peut-être du silex gris européen. Possiblement associé à mat042.
29	mat026	Chert	Groupe 2	Chert rubané	1	1	Gris foncé, blanc	Mat à cireux	Moyennement lustré	Semi-translucide	Rubané	Fin	Conchoïdale	Chert à matrice microcristalline. Composé de rhomboèdres de carbonates blancs et rougeâtres, taches foncées et pâles, inclusions rondes (fossiles?). Les taches sont plus pâles dans les rubans foncées, et plus foncées dans les rubans plus pâles. Les rubans plus pâles sont davantage siliceux et laissent passer plus facilement la lumière. Occurence unique.
30	mat012	Chert	Groupe 3	Chert calcaire 1	8	61	Gris foncé, parfois bleuté	Mat à cireux	Mat à moyennement lustré	Opaque	Moutonnée	Fin	Conchoïdale	Chert à matrice microcristaline d'origine calcaire. Généralement moutonné (caractéristique distinctive, moutonnement en vrille) de taches blanches, grises ou noires. Peut contenir des fossiles (spicules d'éponges). Ce chert peut-être être confondu avec le chert Onondaga, mais l'apparence vrillée et fine du moutonnement le distingue de ce dernier. La présence de taches blanchâtre moutonnées permet de le distinguer du chert Kichisipi avec lequel les petits échantillons peuvent également être confondus.
31	mat041	Chert	Groupe 3	Chert calcaire 2	6	35	Gris foncé, gris foncé brunâtre, brun grisâtre	Mat à cireux	Moyennement lustré	Semi-translucide	Moutonné	Fin	Conchoïdale	Chert à matrice microcristalline. Composé de nombreux rhomboèdres de carbonates blanchâtres ou jaunâtres, quelques taches foncées ou noires. Peut contenir des fossiles qui peuvent être remplacés par de la silice ou des minéraux foncés. Peut contenir des petites poches de silices calcédonique. Associé à mat007?
32	mat007	Chert	Groupe 3	Chert calcaire 3	9	74	Gris à gris foncé; brunâtre	Cireux	Moyennement lustré à lustré	Translucide	Homogène	Fin à aphanitique	Conchoïdale	Chert calcaire à matrice cryptocristalline. Richement composé en rhomboèdres de carbonqtes généralement jaunes, quelques inclusions foncées.
33	mat001	Chert	Groupe 3	Chert calcaire de Trenton 01	28	1575	Noir, gris foncé, gris foncé brunâtre	Mat à cireux	Mat à moyennement lustré	Éclats semi-translucides	Homogène, parfois rubané	Fin	Conchoïdale	Chert calcaire de Trenon («Kichisipi»). Chert d'origine calcaire à matrice microcristaline. Avec un grossissement de 50x à 200x, on observe des rhombèdres de carbonates en quantité très variables. Peut possèder des tâches blanches (siliceuses) ou foncées (minéraux ferro-magnésiens). Peut contenir des fossiles et ceux-ci peuvent être remplacés par de la silice. Peut contenir des petits poches de calcédoine. En grossissement de 200x on voit le caractère hétérogène (tacheté) des couleurs de la matrice, variant entre le noir, gris et brun. Ce chert peut parfois être rubané. Il possède le nom de chert « Kichisipi ».
34	mat002	Chert	Groupe 3	Chert calcaire de Trenton 02	8	115	Gris très foncé, noir	Cireux	Moyennement lustré	Opaque	Homogène	Fin	Conchoïdale	Chert calcaire de Trenon («Kichisipi»)? Chert d'origine calcaire à matrice microcristalline, voir cryptocristalline. Généralement associé au chert du Groupe de Trenton, d'où l'hypothèse que ça en soit. Possède un aspect cireux distinctif. Présence de rhomboèdres de carbonates en faible quantité. Structure hétérogène composée de taches bleutées siliceuses (?) et d'inclusions ou taches foncées ou noire en grossissement à 100x ou plus.
35	mat005	Chert	Groupe 3	Chert Onondaga 01	27	434	Gris, gris foncé, gris brunâtre, gris bleuté	Cireux	Moyennement lustré	Éclats semi-translucides ou translucide	Généralement moutonné	Fin	Conchoïdale	Chert Onondaga. Chert d'origine calcaire à matrice microcristaline. Présence de rhomboèdres de carbonates, fossiles, petites taches noires ou brunes très foncées, parfois petites veinules de calcédoine. Possède généralement un aspect gris bleuté distinctif, ou parfois brunâtre.
36	mat015	Chert	Groupe 3	Chert Onondaga 02	13	29	Gris foncé, gris brunâtre	Cireux	Mat à moyennement lustré	Semi-translucide	Moutonnée	Fin	Conchoïdale	Chert Onondaga (?) Chert à matrice microcristalline, d'origine calcaire. Peut-être une variante du chert Onondaga. Composé de rhomboèdres de carbonates blancs, jaunâtres et rougeâtres, taches blanches, taches foncées. Aspect brunâtre/rougeâtre distinctif probablement dû à la présence des inclusions rougeâtres. Matière facile à reconnaître avec une Dino-Lite à 100x.
37	mat029	Chert	Groupe 3	Chert Gull River (?)	1	2	Gris très foncé	Mat à cireux	Mat à moyennement lustré	Opaque	Homogène	Fin	Conchoïdale	Chert à matrice microcristalline. Composé de très nombreuses petites taches blanches et de sphérules (?). Vacuolues de rhomboèdres de carbonates lessivés en surface. Apparence du chert de Gull River.
38	mat033	Chert	Groupe 4	Chert calcaire fossilifère 1	3	8	Gris foncé	Cireux	Moyennement lustré	Translucide	Moutonné	Fin à aphanitique	Conchoïdale	Chert à matrice microcristalline, voir cryptocristalline, très riche en fossiles, composé de vacuoles de minéraux lessivés en surface, d'inclusions jaunâtres et foncées plus rares. La richesse en fossiles de ce chert est sa caractéristique distinctive.
39	mat039	Chert	Groupe 4	Chert calcaire fossilifère 2	1	1	Brun grisâtre foncé, gris	Mat à cireux	Moyennement lustré	Opaque	Homogène, tacheté?	Fin	Conchoïdale	Chert à matrice microcristalline, similaire à certaines observations de cherts du Groupe de Trenton. Composé de très nombreux fossiles, rhomboèdres de carbonates, petites inclusions foncées. Quelques vacuoles de minéraux lessivés en surface.
40	mat046	Chert	Groupe 4	Chert calcaire fossilifère 3	1	1	Gris, gris foncé, brunâtre	Cireux	Moyennement lustré	Semi-translucide	Moutonnée	Fin	Conchoïdale	Chert à matrice microcristalline chargée en inclusions. Petites inclusions foncées (minéraux ferreux?), nombreux fossiles (coraux?, spicules d'éponge) dont certains transformés en silice, quelques poches de calcédoine. Quelques rhombèdres de carbonates suggèrent une origine calcaire. Occurence unique.
41	mat052	Chert	Groupe 4	Chert calcaire fossilifère 4	1	1	Gris foncé, gris bleuté	Cireux	Moyennement lustré	Semi-translucide	Homogène	Fin	Conchoïdale	Chert d'origine calcaire à matrice microcristalline. Composé de quelques rhomboèdres de carbonates, de nombreuses taches (structure d'un fossil, corail?). Occurence unique, mais peut-être variante d'un chert préexistant (ex. : Onondaga).
42	mat038	Chert	Groupe 4	Chert calcaire fossilifère 5	1	1	Gris, gris foncé	Mat	Mat	Opaque	Moutonné, tacheté	Fin	Conchoïdale	Chert à matrice microcristalline d'origine calcaire. Composé de rhomboèdres de carbonates dissous en surface, taches noire et blanches et des restes de fossiles. Beaucoup de vacuoles en surface et quelques poches de calcédoine. Probablement une variété d'un chert déjà utilisé sur le site de découverte.
43	mat027	Chert	Groupe 5	Chert Collingwood	1	1	Blanc, gris pâle	Mat	Mat à moyennement lustré	Opaque	Homogène	Fin	Conchoïdale	Description selon Codère (1996, p. 38) : porte également le nom Fossil Hill et Amabel, possède de nombreuses inclusions fossiles circulaire ou ovales.
44	mat022	Chert	Groupe 5	Chert des Basses terres de la Baie d'Hudson	9	116	Beige, gris brunâtre, brun	Mat à cireux	Mat à moyennement lustré	Semi-translucide à translucide	Homogène; légèrement moutonné	Fin à aphanitique	Conchoïdale	Identification selon Codère (1998, p. 32) : Le chert des basses terres de la baie d'Hudson est disponible en dépôts secondaires sur les rives des cours d'eau ou dans les dépôts morainiques de l'ouest du Québec, de l'est de l'Ontario et du centre-nord des États-Unis. Il se trouve sous forme de petits galets au cortex brunâtre à rougeâtre, de couleur variant du blanchâtre au brunâtre ou brun-rougeâtre, caramel ou grisâtre, de texture onctueuse à cireuse, rubané, zoné ou homogène, souvent fossilifère et semi-translucide à translucide. Certaines variétés de ce chert sont quelquefois confondues avec le silex européen ».
45	mat023	Chert	Groupe 5	Chert rouge	5	20	Orange, rouge, brun foncé rougeâtre, brun verdâtre	Cireux	Moyennement lustré à lustré	Semi-translucide à translucide	Homogène, moutonnée, tacheté	Aphanitique	Conchoïdale	Chert (ou jaspe?) à matrice cryptocristalline. Matrice homogène ou composée de nombreuses taches blanchâtres ou brunâtres ayant un aspect chou-fleur et quelques inclusions foncées. La transparence varie beaucoup d'un spécimen à l'autre.
46	mat047	Quartzite	Groupe 6	Quartzite 1	1	2	Gris foncé	Cireux à saccharoïde	Moyennement lustré	Translucide	Homogène; enfumée	Fin	Conchoïdale	Quartzite (ou ignée?) caractérisé par enfumures en forme de vagues. Contient des inclusions foncées et des taches blanches diffuses. Occurence unique
47	mat056	Quartzite	Groupe 6	Quartzite 2	1	109	Gris, gris rosé	Saccharoïde	Mat à moyennement lustré	Translucide	Homogène	Moyen à fin	Conchoïdale	Quartzite composé de quelques inclusions grisâtres (mica?). Ressemble au quartzite de Misstassini, mais possède un aspect plus vitreux, proche du quartz. Peut être associé à des veines de quartz. Certaines parties de la matrice sont plus grossières, d'autres plus fines
48	mat048	Quartzite	Groupe 6	Quartzite 3	1	4	Orange	Mat	Mat	Translucide	Homogène	Aphanitique	Conchoïdale	Quartzite très fin dont la teinte orangée pourrait être due à une chauffe. Matrice siliceuse, voire vitreuse (arrêtes) qui contient de nombreuses taches blaches. Reconnaissable simplement à l'oeil nu.
49	mat021	Quartzite	Groupe 6	Quartzite de Cheshire	2	2	Gris	Saccharoïde, granuleux	Moyennement lustré à lustré	Translucide	Homogène	Moyen	Conchoïdale	Quartzite à grain moyen, gris. Source connue et située au Vermont.
50	mat004	Quartzite	Groupe 6	Quartzite de Mistassini	46	1950	Noir à blanc, rarement rosé	Saccharoïde; cireux	Moyennement lustré	Translucide	Homogène, enfumée	Grossier à fin	Conchoïdale	Quartzite de Mistassini. Peut posséder plusieurs applelations notamment « chert d'Albanel, conglomérite, wiinwaapsk ou silexite » (Leblanc, 2004, p. 15). Il s'agit d'un quartzite à grain moyen à très fin, voir aphanitique pour certains cas. Généralement sans inlcusions, mais peut contenir des enfumures noires, grises ou même rosées, quoique plus rarement. 
51	mat018	Quartzite	Groupe 6	Quartzite de Ramah	6	12	Gris pâle	Saccharoïde	Lustré	Translucide	Homogène, enfumé	Moyen	Conchoïdale	Quartzite à grain grossier ou moyen, d'apparence grasse. Composé d'enfumures noires et parfois d'inclusions ferrugineuse le long des plans de fractures.
52	mat020	Quartzite	Groupe 6	Quartzite du lac Bienville	1	2	Verdâtre	Mat à cireux	Mat	Semi-translucide à translucide	Veiné ou filigrané	Fin	Conchoïdale	Identification selon Codère (1998) : « métaquartizte verdâtre translucide à semi-translucide et traversé de minces filets de silice réfère à la région du lac Bienville où un quartizite absolument identique à été exploité durant la préhistoire de l'Hudsonie (échantillon géologique QU-10-0149 au CRLQ) ».
53	mat017	Ignée	Groupe 7	Pyroclastique	12	711	Gris foncé, parfois verdâtre ou rosée	Mat, rugueuse	Mat	Opaque	Bréchique	Fin	Subconchoïdale à conchoïdale	Pierre pyroclastique. Roche composée principalement de matériaux volcaniques. Composée de fragments angu­leux de roche métamorphique, des cristaux de quartz et de feldspath. On voit très facilement ces inclusions à l'oeil nu.
54	mat009	Ignée	Groupe 7	Ignée beige	3	37	Beige, brun grisâtre	Mat	Mat	Opaque	Tachetée	Moyen	Conchoïdale	Roche ignée beige à inclusions minérales foncées, phénocristaux de quartz. Facile à reconnaître.
55	mat055	Ignée	Groupe 7	Rhyolite	1	3	Gris verdâtre	Mat	Mat	Opaque	Homogène	Fin	Conchoïdale	Rhyolite à grain moyen à fin. Composées d'inclusions rondes grises foncées.
56	mat032	Ignée	Groupe 7	Rhyolite beige	1	1	Blanc, beige	Mat	Mat	Opaque	Homogène	Fin	Sub-conchoïdale à conchoïdale	Roche ignée, probablement une rhyolite. Peut être oxydée en surface. Quelques veines et plusieurs phénocristaux de silice ou quartz faciles à observer à faible grossissement (6,4x).
57	mat031	Ignée	Groupe 7	Rhyolite blanche	1	1	Blanc	Mat à cireux	Mat	Opaque	Homogène	Fin	Sub-conchoïdale à conchoïdale	Rhyolite composée de phénocristaux de quartz et de silice visibles à l'oeil nu. Occurence unique.
58	mat008	Ignée	Groupe 7	Rhyolite de l'Abitibi	3	3	Gris foncé	Mat	Mat	Opaque	Veiné	Moyen	Subconchoïdale	Identification selon Codère (1998) : « rhyolite ou d'une volcanite parfois magnétique, souvent gris foncé et opaque. Elle contient des inclusions blanchâtres concentrées à l'intérieur de minces filets interconnectés ou non » (Codère 1998, p.34)
